Started,AcresBurned,Longitude,Type,Latitude,ExtinguishedDate
2020-06-17T15:49:46Z,89.0,-121.20828,Wildfire,38.23432,2020-06-18T10:44:00Z
2020-06-17T16:39:25Z,68.0,-122.205628,Wildfire,40.000132,
2020-06-17T16:54:46Z,83.0,-121.42113,Wildfire,35.9497,2020-06-22T09:07:00Z
2020-06-17T20:22:58Z,165.0,-118.6894,Wildfire,35.27678,2020-06-18T19:17:00Z
2020-06-18T16:56:59Z,110.0,-121.33956,Wildfire,38.89178,2020-06-18T19:24:00Z
2020-06-18T20:28:41Z,130.0,-118.845123,Wildfire,36.37085,2020-06-22T19:26:00Z
2020-06-18T22:33:51Z,13.0,-121.45372,Wildfire,39.37577,2020-06-18T08:53:00Z
2020-06-19T15:19:44Z,217.0,-118.8613,Wildfire,35.89133,2020-06-22T19:22:00Z
2020-06-20T14:24:00Z,89.0,-121.53976,Wildfire,39.36894,2020-06-20T19:14:00Z
2020-06-20T17:23:41Z,11.0,-120.54161,Wildfire,41.5017,
2020-06-21T11:33:36Z,10.0,-120.20316,Wildfire,38.08264,2020-07-07T14:34:00Z
2020-06-21T16:29:28Z,195.0,-121.08753,Wildfire,35.90835,2020-06-25T18:55:00Z
2020-06-21T21:50:06Z,52.0,-121.57407,Wildfire,36.69845,2020-06-22T19:12:00Z
2020-06-22T08:16:27Z,1050.0,-119.19677,Wildfire,36.5537,2020-06-26T06:39:00Z
2020-06-22T15:55:55Z,348.0,-120.87858,Wildfire,35.9789,2020-06-23T07:07:00Z
2020-06-22T13:55:00Z,15.0,-120.68326,Wildfire,35.62906,2020-06-23T09:04:00Z
2020-06-23T08:23:48Z,19.0,-119.33439,Wildfire,36.97511,2020-06-26T18:04:00Z
2020-06-23T21:12:11Z,563.0,-120.28147,Wildfire,40.43203,2020-06-26T18:00:00Z
2020-06-24T07:49:19Z,210.0,-120.04635,Wildfire,40.44793,2020-06-26T18:00:00Z
2020-06-24T17:49:08Z,12.0,-115.96594,Wildfire,33.27665,2020-06-27T06:58:00Z
2020-06-25T06:47:01Z,202.0,-121.18355,Wildfire,37.46265,2020-06-26T18:32:00Z
2020-06-25T17:28:46Z,263.0,-119.88048,Wildfire,35.30742,2020-06-28T07:06:00Z
2020-06-26T15:13:24Z,280.0,-119.00289,Wildfire,38.22554,2020-07-02T11:07:00Z
2020-06-26T17:07:51Z,59.0,-116.750925,Wildfire,33.565093,
2020-06-27T19:08:50Z,2975.0,-119.81098,Wildfire,39.32596,2020-07-06T14:36:00Z
2020-06-28T13:28:53Z,2192.0,-121.21912,Wildfire,37.06641,2020-07-03T07:34:00Z
2020-06-28T15:58:46Z,33.0,-120.96759,Wildfire,35.69993,2020-06-28T11:06:00Z
2020-06-29T12:35:41Z,12.0,-121.2199939,Wildfire,41.0336731,2020-06-29T18:49:00Z
2020-06-30T15:43:01Z,136.0,-121.4319,Wildfire,39.3784,2020-07-03T19:15:00Z
2020-06-30T17:40:16Z,62.0,-123.437051,Wildfire,40.791509,2020-07-24T15:25:00Z
2020-07-01T16:32:50Z,4000.0,-118.702732,Wildfire,35.310132,2020-07-03T07:30:00Z
2020-07-01T16:43:16Z,648.0,-118.324601,Wildfire,34.542742,2020-07-05T10:43:00Z
2020-07-02T15:27:03Z,500.0,-119.9252132,Wildfire,36.9678542,2020-07-03T07:33:00Z
2020-07-03T14:00:40Z,157.0,-120.053275,Wildfire,35.393889,2020-07-05T18:43:00Z
2020-07-03T16:29:04Z,62.0,-117.124353,Wildfire,34.182436,2020-07-06T13:27:00Z
2020-07-04T15:04:41Z,108.0,-121.876277,Wildfire,37.536015,2020-07-05T18:47:00Z
2020-07-05T07:09:01Z,583.0,-120.00485,Wildfire,35.351065,
2020-07-04T07:13:22Z,353.0,-121.567505,Wildfire,37.166733,2020-07-06T19:23:00Z
2020-07-05T07:30:23Z,100.0,-121.086625,Wildfire,37.091637,
2020-07-05T14:39:40Z,67.0,-119.116536,Wildfire,36.750186,
2020-07-05T14:55:49Z,5513.0,-121.501532,Wildfire,37.034839,2020-07-13T19:06:00Z
2020-07-05T17:18:35Z,1525.0,-118.328877,Wildfire,34.467915,2020-07-10T18:44:00Z
2020-07-06T15:32:26Z,298.0,-122.25471,Wildfire,38.02996,
2020-07-06T16:04:20Z,150.0,-121.53524,Wildfire,37.71984,2020-07-06T19:02:00Z
2020-07-06T18:22:56Z,75.0,-122.12447,Wildfire,38.21614,2020-07-09T11:50:00Z
2020-07-07T16:06:21Z,32.0,-120.941267,Wildfire,38.58488,
2020-07-07T17:32:13Z,25.0,-122.65813,Wildfire,39.35498,2020-07-09T15:20:00Z
2020-07-09T14:27:09Z,10.0,-116.7464168,Wildfire,33.551838,2020-07-09T07:44:00Z
2020-07-11T10:50:33Z,31.0,-121.79349,Wildfire,37.37731,2020-07-11T17:28:00Z
2020-07-11T17:57:49Z,108.0,-119.50307,Wildfire,37.1487,2020-07-15T19:07:00Z
2020-07-13T12:55:16Z,2.0,-117.108421,Wildfire,33.623968,2020-07-13T18:45:00Z
2020-07-13T15:06:35Z,33.0,-121.37994,Wildfire,39.43227,2020-07-15T19:09:00Z
2020-07-13T15:08:00Z,91.0,-116.83552,Wildfire,33.48429,2020-07-15T07:07:00Z
